reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Australia,2013,Export,Other,Macro Export (US$ Thousand),8648081.475,2.0571
Australia,2013,Export,Animal,Micro Export (US$ Thousand),12603097.97,0.9659
Australia,2013,Export,Chemicals,Micro Export (US$ Thousand),11854881.58,8.5352
Australia,2013,Export,Food Products,Micro Export (US$ Thousand),4627716.374,3.6931
Australia,2013,Export,Footwear,Micro Export (US$ Thousand),70270.799,0.7808
Australia,2013,Export,Fuels,Micro Export (US$ Thousand),65221537.19,17.4932
Australia,2013,Export,Hides and Skins,Micro Export (US$ Thousand),1264917.572,0.5547
Australia,2013,Export,Mach and Elec,Micro Export (US$ Thousand),8477553.735,24.3669
Australia,2013,Export,Metals,Micro Export (US$ Thousand),12827679.96,5.6057
Australia,2013,Export,Minerals,Micro Export (US$ Thousand),79461479.76,0.3421
Australia,2013,Export,Miscellaneous,Micro Export (US$ Thousand),12102376.36,8.9908
Australia,2013,Export,Plastic or Rubber,Micro Export (US$ Thousand),1107892.937,4.0033
Australia,2013,Export,Stone and Glass,Micro Export (US$ Thousand),15283046.59,3.8062
Australia,2013,Export,Textiles and Clothing,Micro Export (US$ Thousand),5504918.843,3.6412
Australia,2013,Export,Transportation,Micro Export (US$ Thousand),4742217.665,13.7578
Australia,2013,Export,Vegetable,Micro Export (US$ Thousand),14607235.83,1.2264
Australia,2013,Export,Wood,Micro Export (US$ Thousand),2398282.124,2.2365
Australia,2014,Import,  All Products,Import (US$ Thousand),227544231.3,100
Australia,2014,Import, Capital goods,Macro Import (US$ Thousand),68819331.14,5.1887
Australia,2014,Import, Consumer goods,Macro Import (US$ Thousand),96582645.41,14.2122
Australia,2014,Import, Intermediate goods,Macro Import (US$ Thousand),32927922.16,15.9239
Australia,2014,Import, Raw materials,Macro Import (US$ Thousand),22838732.12,61.3697
Australia,2014,Import,Other,Macro Import (US$ Thousand),6375600.514,3.3055
Australia,2014,Import,Animal,Micro Import (US$ Thousand),2511481.56,6.3907
Australia,2014,Import,Chemicals,Micro Import (US$ Thousand),19290140.77,4.5278
Australia,2014,Import,Food Products,Micro Import (US$ Thousand),8923548.197,1.8098
Australia,2014,Import,Footwear,Micro Import (US$ Thousand),1892822.32,0.0308
Australia,2014,Import,Fuels,Micro Import (US$ Thousand),36236781.82,26.5991
Australia,2014,Import,Hides and Skins,Micro Import (US$ Thousand),1345932.361,0.5047
Australia,2014,Import,Mach and Elec,Micro Import (US$ Thousand),55888604.57,3.5414
Australia,2014,Import,Metals,Micro Import (US$ Thousand),13219358.79,5.3685
Australia,2014,Import,Minerals,Micro Import (US$ Thousand),945008.361,30.082
Australia,2014,Import,Miscellaneous,Micro Import (US$ Thousand),23374136.46,4.8107
Australia,2014,Import,Plastic or Rubber,Micro Import (US$ Thousand),9158139.743,0.4571
Australia,2014,Import,Stone and Glass,Micro Import (US$ Thousand),8186056.582,5.6664
Australia,2014,Import,Textiles and Clothing,Micro Import (US$ Thousand),8813386.732,1.8451
Australia,2014,Import,Transportation,Micro Import (US$ Thousand),29159928.39,1.9672
Australia,2014,Import,Vegetable,Micro Import (US$ Thousand),3147915.83,5.332
Australia,2014,Import,Wood,Micro Import (US$ Thousand),5450988.862,1.0666
Australia,2014,Export,  All Products,Export (US$ Thousand),240444683.9,100
Australia,2014,Export, Capital goods,Macro Export (US$ Thousand),12475957.29,30.2444
Australia,2014,Export, Consumer goods,Macro Export (US$ Thousand),34172399.74,42.4457
Australia,2014,Export, Intermediate goods,Macro Export (US$ Thousand),38288176.09,14.471
Australia,2014,Export, Raw materials,Macro Export (US$ Thousand),147560285.5,10.0371
Australia,2014,Export,Other,Macro Export (US$ Thousand),7947865.211,2.8018
Australia,2014,Export,Animal,Micro Export (US$ Thousand),15366202.81,1.1037
Australia,2014,Export,Chemicals,Micro Export (US$ Thousand),10886848.52,8.4775
Australia,2014,Export,Food Products,Micro Export (US$ Thousand),4351453.159,3.9217
Australia,2014,Export,Footwear,Micro Export (US$ Thousand),74082.859,0.8318
Australia,2014,Export,Fuels,Micro Export (US$ Thousand),63956234.02,15.9252
Australia,2014,Export,Hides and Skins,Micro Export (US$ Thousand),1213606.317,0.5915
Australia,2014,Export,Mach and Elec,Micro Export (US$ Thousand),8515227.923,24.5616
Australia,2014,Export,Metals,Micro Export (US$ Thousand),12908220.44,5.8096
Australia,2014,Export,Minerals,Micro Export (US$ Thousand),72330559.43,0.4153
Australia,2014,Export,Miscellaneous,Micro Export (US$ Thousand),11567155.94,10.2723
Australia,2014,Export,Plastic or Rubber,Micro Export (US$ Thousand),1099121.2,4.0248
Australia,2014,Export,Stone and Glass,Micro Export (US$ Thousand),13624467.33,3.5976
Australia,2014,Export,Textiles and Clothing,Micro Export (US$ Thousand),4436363.297,3.8733
Australia,2014,Export,Transportation,Micro Export (US$ Thousand),4730027.448,12.8151
Australia,2014,Export,Vegetable,Micro Export (US$ Thousand),12820622.74,1.3834
Australia,2014,Export,Wood,Micro Export (US$ Thousand),2564490.416,2.3956
Australia,2015,Import,  All Products,Import (US$ Thousand),200113780,100
Australia,2015,Import, Capital goods,Macro Import (US$ Thousand),63236594.72,5.9254
Australia,2015,Import, Consumer goods,Macro Import (US$ Thousand),89289779.77,14.7852
Australia,2015,Import, Intermediate goods,Macro Import (US$ Thousand),30547165.9,17.98
Australia,2015,Import, Raw materials,Macro Import (US$ Thousand),11586982.13,57.5312
Australia,2015,Import,Other,Macro Import (US$ Thousand),5453257.454,3.7782
Australia,2015,Import,Animal,Micro Import (US$ Thousand),2176067.885,7.6047
Australia,2015,Import,Chemicals,Micro Import (US$ Thousand),17372427.9,5.1179
Australia,2015,Import,Food Products,Micro Import (US$ Thousand),8470949.692,2.3915
Australia,2015,Import,Footwear,Micro Import (US$ Thousand),1961059.006,0.0387
Australia,2015,Import,Fuels,Micro Import (US$ Thousand),21748482.42,25.291
Australia,2015,Import,Hides and Skins,Micro Import (US$ Thousand),1330894.469,0.547
